参数分类,参数名称,小齿轮(计算),大齿轮(计算),小齿轮(测量),大齿轮(测量),单位,备注
,,,,,,,
基本参数,齿数,7,70,7,70,,"z1=7, z2=70"
基本参数,大端端面模数,-,-,1.28,-,mm,
基本参数,中点法向模数,1.0622,-,-,-,mm,mmn=1.0622
基本参数,齿宽,10.766,9.000,11.753,9,mm,
基本参数,平均压力角,20,20,20,20,°,"alphaD=16.65, alphaC=23.35"
基本参数,驱动面压力角,16.65,16.65,-,-,°,
基本参数,非驱动面压力角,23.35,23.35,-,-,°,
基本参数,中点分度圆直径,11.61,81.17,/,-,mm,dm = 2*Rm*sin(δ)
基本参数,外径(齿顶圆),16.518,90.088,17.092,89.693,mm,dae=de+2*hae*cos(δ)
基本参数,中点螺旋角,50.19,23.66,50°11′45″,22°28′46″,°,
基本参数,螺旋方向,右旋,左旋,右旋,左旋,,
基本参数,偏置距,19,-,19,-,mm,a=19
基本参数,传动比,10.0000,-,-,-,,u=z2/z1=10
,,,,,,,
齿高参数,测量齿顶高(大端),-,-,2.011,0.339,mm,
齿高参数,测量齿根高(大端),-,-,0.713,2.333,mm,
齿高参数,测量全齿高(大端),-,-,2.385,2.316,mm,
齿高参数,设计齿顶高(中点),1.806,0.319,-,-,mm,
齿高参数,设计齿根高(中点),0.616,2.103,-,-,mm,
齿高参数,设计全齿高(中点),2.422,2.422,-,-,mm,
齿高参数,计算齿顶高系数,"1.0(小轮), 1.0(大轮)","1.0, 1.0",-,-,,
齿高参数,计算顶隙系数,"0.28(小轮根部), 0.28(大轮根部)",,-,-,,c*=khfp-khap_mate
齿高参数,设计齿根高系数,"1.28(小轮), 1.28(大轮)","1.28, 1.28",-,-,,
齿高参数,变位系数,0.7,-0.7,-,-,,xhm1=0.7
,,,,,,,
锥角参数,顶锥角,9.66,82.93,10.485,83.218,°,
锥角参数,节锥角,7.11,82.07,7.02,82.085,°,
锥角参数,根锥角,6.27,79.13,6.0,78.171,°,
锥角参数,基锥角,6.27,79.13,-,-,°,
锥角参数,齿顶角,2.56,0.86,-,-,°,
锥角参数,齿根角,0.83,2.94,-,-,°,
,,,,,,,
锥距参数,外锥距,52.287,45.435,-,-,mm,
锥距参数,中点锥距,46.949,40.979,-,-,mm,
锥距参数,内锥距,41.521,36.435,-,-,mm,
,,,,,,,
齿厚参数,中点法向弦齿厚,2.279,0.925,-,-,mm,
齿厚参数,中点弦齿顶高,1.8586,0.3187,-,-,mm,
齿厚参数,大端法向侧隙,0.13,-,0.102~0.152,-,mm,jen=0.13
,,,,,,,
刀具参数,刀具半径,38.10,38.10,38.1,-,mm,
刀具参数,刀刃角,23.3,23.3,-,-,°,
